filename,pupil_x,pupil_y
gaze_pxm15p0_pym15p0_256.webp,-15.0,-15.0
gaze_pxm10p0_pym15p0_256.webp,-10.0,-15.0
gaze_pxm5p0_pym15p0_256.webp,-5.0,-15.0
gaze_px0p0_pym15p0_256.webp,0.0,-15.0
gaze_px5p0_pym15p0_256.webp,5.0,-15.0
gaze_px10p0_pym15p0_256.webp,10.0,-15.0
gaze_px15p0_pym15p0_256.webp,15.0,-15.0
gaze_pxm15p0_pym10p0_256.webp,-15.0,-10.0
gaze_pxm10p0_pym10p0_256.webp,-10.0,-10.0
gaze_pxm5p0_pym10p0_256.webp,-5.0,-10.0
gaze_px0p0_pym10p0_256.webp,0.0,-10.0
gaze_px5p0_pym10p0_256.webp,5.0,-10.0
gaze_px10p0_pym10p0_256.webp,10.0,-10.0
gaze_px15p0_pym10p0_256.webp,15.0,-10.0
gaze_pxm15p0_pym5p0_256.webp,-15.0,-5.0
gaze_pxm10p0_pym5p0_256.webp,-10.0,-5.0
gaze_pxm5p0_pym5p0_256.webp,-5.0,-5.0
gaze_px0p0_pym5p0_256.webp,0.0,-5.0
gaze_px5p0_pym5p0_256.webp,5.0,-5.0
gaze_px10p0_pym5p0_256.webp,10.0,-5.0
gaze_px15p0_pym5p0_256.webp,15.0,-5.0
gaze_pxm15p0_py0p0_256.webp,-15.0,0.0
gaze_pxm10p0_py0p0_256.webp,-10.0,0.0
gaze_pxm5p0_py0p0_256.webp,-5.0,0.0
gaze_px0p0_py0p0_256.webp,0.0,0.0
gaze_px5p0_py0p0_256.webp,5.0,0.0
gaze_px10p0_py0p0_256.webp,10.0,0.0
gaze_px15p0_py0p0_256.webp,15.0,0.0
gaze_pxm15p0_py5p0_256.webp,-15.0,5.0
gaze_pxm10p0_py5p0_256.webp,-10.0,5.0
gaze_pxm5p0_py5p0_256.webp,-5.0,5.0
gaze_px0p0_py5p0_256.webp,0.0,5.0
gaze_px5p0_py5p0_256.webp,5.0,5.0
gaze_px10p0_py5p0_256.webp,10.0,5.0
gaze_px15p0_py5p0_256.webp,15.0,5.0
gaze_pxm15p0_py10p0_256.webp,-15.0,10.0
gaze_pxm10p0_py10p0_256.webp,-10.0,10.0
gaze_pxm5p0_py10p0_256.webp,-5.0,10.0
gaze_px0p0_py10p0_256.webp,0.0,10.0
gaze_px5p0_py10p0_256.webp,5.0,10.0
gaze_px10p0_py10p0_256.webp,10.0,10.0
gaze_px15p0_py10p0_256.webp,15.0,10.0
gaze_pxm15p0_py15p0_256.webp,-15.0,15.0
gaze_pxm10p0_py15p0_256.webp,-10.0,15.0
gaze_pxm5p0_py15p0_256.webp,-5.0,15.0
gaze_px0p0_py15p0_256.webp,0.0,15.0
gaze_px5p0_py15p0_256.webp,5.0,15.0
gaze_px10p0_py15p0_256.webp,10.0,15.0
gaze_px15p0_py15p0_256.webp,15.0,15.0
